player_name,club_name,position_name,now_cost,total_points,event_points,points_per_game,selected_by_percent,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,form,dreamteam_count,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,news,influence_rank,creativity_rank,threat_rank,ict_index_rank
Cody Gakpo,Liverpool,MID,7.7,23,3,5.8,18.6,1,2,360,2,4,0,0,0,0,0,0,2,103.2,111.6,108.0,32.3,5.3,0,0.7,3.0,1679729,475437,93414,100724,0.2,-0.2,0.0,0.0,0.52,0.84,1.36,3.25,4,,25,13,11,7
Dan Burn,Newcastle,DEF,5.0,23,6,5.8,5.6,0,0,360,3,3,0,0,0,0,1,0,1,59.2,17.3,23.0,10.0,4.7,0,0.9,4.6,294740,111549,19148,14654,0.0,0.0,0.0,0.0,0.05,0.09,0.14,2.09,4,,110,195,142,149
Fabian Schär,Newcastle,DEF,5.5,23,8,5.8,3.1,0,0,350,3,2,0,0,0,0,0,0,0,80.0,25.0,15.0,12.1,5.0,0,0.9,4.2,140734,112551,18154,6629,0.0,0.0,0.0,0.0,0.08,0.07,0.15,1.72,4,,62,152,195,117
Josh Cullen,Burnley,MID,5.0,23,3,5.8,2.0,1,1,332,2,6,1,0,0,0,0,0,3,121.6,81.2,21.0,22.4,6.3,1,1.3,4.6,254020,80930,23101,13467,0.0,0.0,0.0,0.0,0.08,0.52,0.6,7.93,4,,12,29,149,24
Lucas L.Paquetá,West Ham,MID,5.9,23,2,5.8,3.7,2,0,337,1,11,0,0,0,0,0,0,2,122.4,74.6,62.0,26.0,7.0,0,1.2,3.9,377789,136245,59801,27312,-0.1,0.1,0.0,0.0,1.43,0.23,1.66,4.93,4,,11,38,45,13
Gabriel Gabriel,Arsenal,DEF,6.1,23,9,5.8,22.0,0,0,360,3,1,0,0,0,0,0,0,1,79.6,6.3,21.0,10.7,5.7,0,0.9,3.8,794754,433117,90714,45804,0.1,-0.1,0.0,0.0,0.26,0.03,0.29,2.41,4,,63,281,155,134
James Tarkowski,Everton,DEF,5.5,23,8,5.8,7.0,0,0,360,2,3,0,0,0,0,0,0,0,96.6,13.5,17.0,12.8,6.3,0,1.1,4.2,232138,206331,23098,21764,0.0,0.0,0.0,0.0,0.2,0.05,0.25,6.15,4,,29,223,184,105
Iliman Ndiaye,Everton,MID,6.5,22,5,5.5,8.4,2,0,333,2,3,0,0,0,0,0,0,0,110.6,65.0,79.0,25.5,6.7,0,1.0,3.4,265859,529257,30375,43866,0.0,0.0,0.0,0.0,1.31,0.26,1.57,5.2,4,,18,55,27,16
Tyrick Mitchell,Crystal Palace,DEF,5.0,22,6,5.5,1.9,0,0,360,3,1,0,0,0,0,1,0,1,84.0,66.8,12.0,16.3,4.3,0,0.9,4.4,106196,54649,5704,4805,0.0,0.0,0.0,0.0,0.0,0.24,0.24,4.02,4,,54,51,213,62
Virgil Virgil,Liverpool,DEF,6.1,22,8,5.5,28.6,0,0,360,2,4,0,0,0,0,0,0,4,144.0,21.2,27.0,19.2,6.3,0,1.0,3.6,852125,481321,115859,38075,0.1,-0.1,0.1,-0.1,0.18,0.09,0.27,3.25,4,,5,171,124,45
Chris Richards,Crystal Palace,DEF,4.5,22,6,5.5,2.1,0,0,360,3,1,0,0,0,0,0,0,0,90.0,17.5,18.0,12.6,5.3,0,1.2,4.9,151995,70974,19584,6306,0.0,0.0,0.0,0.0,0.27,0.08,0.35,4.02,4,,47,193,176,110
James Garner,Everton,MID,5.0,21,5,5.2,0.4,1,0,360,2,3,0,0,0,0,1,0,3,113.6,89.8,12.0,21.6,6.3,0,1.3,4.2,47124,15798,12995,3730,0.0,0.0,0.0,0.0,0.15,0.41,0.56,6.15,4,,17,21,212,30
Dean Henderson,Crystal Palace,GKP,5.0,21,6,5.2,8.1,0,0,360,3,1,0,0,0,6,0,0,0,61.2,10.0,0.0,7.0,5.0,0,1.0,4.2,249790,147455,25282,17694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,4,,105,257,654,210
Kieran Trippier,Newcastle,DEF,5.0,21,8,5.2,2.9,0,0,316,3,2,0,0,0,0,0,0,2,36.8,129.5,4.0,16.9,5.0,0,1.0,4.2,120488,55698,15665,5869,0.0,0.0,0.0,0.0,0.0,0.35,0.35,1.65,4,,184,9,282,58
Pedro Pedro Porro,Spurs,DEF,5.6,21,6,5.2,25.2,0,0,340,3,1,0,0,0,0,1,0,0,75.6,113.1,17.0,20.7,5.0,0,0.9,3.8,862469,510745,71886,67592,0.1,-0.1,0.0,0.0,0.11,0.78,0.89,4.65,4,,72,12,186,37
Richarlison Richarlison,Spurs,FWD,6.7,20,1,5.0,13.4,2,1,257,2,1,0,0,0,0,1,0,3,104.8,33.4,115.0,25.3,2.3,1,0.3,3.0,1497293,571831,64341,160558,0.2,-0.2,0.0,0.0,0.88,0.13,1.01,3.85,3,,24,106,7,18
Marcus Tavernier,Bournemouth,MID,5.5,20,2,5.0,1.7,1,0,332,2,5,0,0,0,0,0,0,3,73.6,50.8,87.0,21.2,5.3,1,1.0,3.6,202914,78344,16875,15652,0.0,0.0,0.0,0.0,0.86,0.43,1.29,3.36,4,,81,72,18,34
Viktor Gyökeres,Arsenal,FWD,9.0,20,6,5.0,25.6,3,0,306,2,1,0,0,0,0,1,0,2,109.0,44.4,98.0,25.2,6.3,1,0.7,2.2,1010650,955228,151107,95493,0.0,0.0,0.0,0.0,2.12,0.27,2.39,1.49,4,,19,84,15,19
Dominik Szoboszlai,Liverpool,MID,6.5,20,3,5.0,3.6,1,0,360,2,4,0,0,0,0,0,0,3,92.2,61.1,55.0,20.9,6.0,1,0.9,3.1,244709,115967,64079,20453,0.0,0.0,0.0,0.0,0.34,0.19,0.53,3.25,4,,45,58,58,36
Joe Rodon,Leeds,DEF,4.0,20,4,5.0,3.3,0,0,360,2,6,0,0,0,0,0,0,2,77.8,2.2,4.0,8.4,4.3,0,1.1,5.0,215872,91315,52423,8798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,4,,70,322,271,181
Marc Cucurella,Chelsea,DEF,6.2,20,1,5.0,27.9,0,1,293,2,2,0,0,0,0,0,0,2,82.4,79.6,36.0,19.8,4.0,0,0.6,3.2,1295758,483357,49356,139086,0.2,-0.2,0.1,-0.1,0.17,0.47,0.64,2.84,3,,57,32,93,42
Michael Keane,Everton,DEF,4.5,19,6,4.8,0.6,0,0,360,2,3,0,0,0,0,0,0,0,79.4,11.7,38.0,12.9,5.7,0,1.3,4.2,48665,24210,6852,3244,0.0,0.0,0.0,0.0,0.55,0.05,0.6,6.15,4,,64,238,87,102
Brennan Johnson,Spurs,MID,7.1,19,1,4.8,8.8,2,0,219,2,1,0,0,0,0,1,0,2,86.8,44.3,48.0,18.0,3.7,0,0.5,2.7,1029242,440848,23622,150806,0.1,-0.1,0.0,0.0,0.9,0.15,1.05,3.59,3,,51,85,64,51
Dan Ndoye,Nott'm Forest,MID,6.1,19,2,4.8,3.3,1,1,295,0,5,0,0,0,0,0,0,4,75.2,53.4,43.0,17.2,3.3,0,0.5,3.1,462399,181564,35484,25154,0.1,-0.1,0.0,0.0,0.1,0.39,0.49,4.91,4,,73,70,75,56
Joachim Andersen,Fulham,DEF,4.5,19,10,4.8,3.3,0,0,360,1,4,0,0,0,0,0,0,2,90.8,26.6,18.0,13.5,5.7,1,1.3,4.2,140013,83037,29537,6958,0.0,0.0,0.0,0.0,0.21,0.72,0.93,6.25,4,,46,139,175,90
Robert Sánchez,Chelsea,GKP,5.0,19,2,4.8,22.9,0,0,360,2,3,0,0,0,11,0,0,1,79.4,0.0,0.0,7.9,3.7,0,0.7,3.8,449164,583758,14647,115468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84,4,,66,678,656,194
Pape Matar P.M.Sarr,Spurs,MID,5.0,19,8,4.8,2.9,1,1,345,3,1,0,0,0,0,0,0,0,81.2,25.5,68.0,17.5,4.3,0,0.9,3.8,187247,157081,60614,12588,0.0,0.0,0.0,0.0,0.31,0.26,0.57,4.68,4,,59,146,37,54
Djed Spence,Spurs,DEF,4.5,18,5,4.5,2.5,0,0,340,3,1,0,0,0,0,2,0,0,39.4,31.8,26.0,9.7,4.0,0,0.9,4.0,198537,74168,16055,9042,0.0,0.0,0.0,0.0,0.18,0.12,0.3,4.68,4,,167,113,129,156
Chris Wood,Nott'm Forest,FWD,7.6,18,1,4.5,21.8,2,0,296,1,4,0,0,0,0,0,0,3,70.6,28.8,109.0,20.4,1.7,1,0.2,2.4,1886610,1113896,90397,181687,0.1,-0.1,-0.1,0.1,1.62,0.11,1.73,4.94,4,,88,129,10,39
Omar Alderete,Sunderland,DEF,4.0,18,9,4.5,1.5,0,1,307,1,3,0,0,0,0,0,0,1,105.2,21.8,19.0,14.6,4.7,0,1.2,4.5,86574,41409,19324,3872,0.0,0.0,0.0,0.0,0.11,0.17,0.28,4.2,3,,23,164,166,80
Kiernan Dewsbury-Hall,Everton,MID,5.0,18,2,4.5,4.9,1,1,360,2,3,0,0,0,0,3,0,3,84.2,154.1,32.0,27.1,5.3,1,1.1,3.6,286205,225167,29649,26803,0.0,0.0,0.0,0.0,0.12,1.26,1.38,6.15,4,,53,3,101,12
Ismaïla Sarr,Crystal Palace,MID,6.5,18,0,6.0,3.6,2,0,270,2,1,0,0,0,0,1,0,1,83.4,20.6,57.0,16.2,5.0,0,0.8,2.8,441091,576150,916,101426,0.0,0.0,0.0,0.0,2.0,0.05,2.05,3.66,3,Muscle injury - Expected back 27 Sep,55,177,55,66
Mohammed Kudus,Spurs,MID,6.6,18,3,4.5,31.6,0,2,349,3,1,0,0,0,0,0,0,1,81.8,145.1,57.0,28.3,2.7,1,0.4,2.7,1522469,794970,75020,164915,0.1,-0.1,0.0,0.0,0.53,0.86,1.39,4.68,4,,58,6,56,11
Daniel Ballard,Sunderland,DEF,4.6,18,0,9.0,2.9,1,0,98,1,0,0,0,0,0,0,0,3,74.8,10.8,66.0,15.2,0.3,1,0.1,3.9,586191,481476,620,35687,0.1,-0.1,0.0,0.0,0.18,0.18,0.36,0.56,2,Groin Injury - 75% chance of playing,76,249,40,73
Tyrone Mings,Aston Villa,DEF,4.5,18,9,4.5,1.4,0,0,360,2,4,0,0,0,0,0,0,1,81.0,19.4,23.0,12.4,4.0,0,0.9,4.0,81470,44180,17378,3863,0.0,0.0,0.0,0.0,0.33,0.06,0.39,7.39,4,,60,183,139,113
Declan Rice,Arsenal,MID,6.5,17,1,4.2,8.8,0,2,284,2,1,0,0,0,0,0,0,0,44.4,75.3,15.0,13.5,3.7,0,0.6,2.6,342500,303654,21032,70582,0.0,0.0,0.0,0.0,0.15,0.68,0.83,1.83,3,,151,37,197,94
Hjalmar Ekdal,Burnley,DEF,4.0,17,4,4.2,1.3,0,0,352,1,6,0,0,0,0,0,0,1,93.8,15.4,18.0,12.7,5.3,0,1.3,4.2,151994,40486,17633,4627,0.0,0.0,0.0,0.0,0.01,0.01,0.02,8.11,4,,40,209,173,107
Tijjani Reijnders,Man City,MID,5.7,17,3,4.2,31.0,1,1,360,2,4,0,0,0,0,1,0,0,75.0,80.4,58.0,21.4,2.3,1,0.4,3.0,2005828,857912,69047,164914,0.2,-0.2,0.0,0.0,0.61,0.32,0.93,5.48,4,,74,30,51,33
Gabriel Gudmundsson,Leeds,DEF,4.0,17,0,4.2,5.0,0,0,349,2,6,1,0,0,0,1,0,6,63.6,67.8,21.0,15.3,2.7,0,0.7,4.2,387156,135314,21376,13844,0.0,0.0,0.0,0.0,0.17,0.23,0.4,4.71,4,,102,50,146,71
Reinildo Reinildo,Sunderland,DEF,4.0,16,6,4.0,8.1,0,0,360,2,3,0,0,0,0,1,0,0,74.2,17.9,6.0,9.9,3.3,0,0.8,4.0,385573,220385,19848,15700,0.0,0.0,0.0,0.0,0.02,0.04,0.06,4.53,4,,79,192,255,153
Wilson Isidor,Sunderland,FWD,5.5,16,2,4.0,1.0,2,0,156,1,2,0,0,0,0,0,0,3,73.4,1.3,73.0,14.7,3.7,0,0.7,2.9,107649,35981,37039,8539,0.0,0.0,0.0,0.0,0.39,0.0,0.39,2.8,1,,82,335,34,79
Lucas Bergvall,Spurs,MID,5.4,16,11,4.0,0.3,1,1,198,2,0,0,0,0,0,0,0,0,78.8,29.4,77.0,18.6,4.3,1,0.8,3.0,21891,9006,19674,2184,-0.1,0.1,0.0,0.0,0.3,0.13,0.43,1.84,2,,68,124,31,49
